adm_cd,adm_nm,자치구,pop,area_km2,pop_density
1159068000,신대방제2동,동작구,22090.0,0.9697027895363132,22780.2
1162052500,보라매동,관악구,23904.0,0.7561060233759294,31614.6
1162054500,청림동,관악구,14762.0,0.2969338443861867,49714.8
1162056500,성현동,관악구,28325.0,0.6777191228618452,41794.6
1162057500,행운동,관악구,28962.0,0.7177001609514527,40353.9
1162058500,낙성대동,관악구,17418.0,2.261134485316892,7703.2
1162059500,청룡동,관악구,35935.0,1.1947180123684848,30078.2
1162060500,은천동,관악구,32462.0,0.7756371485778779,41852.0
1162061500,중앙동,관악구,15291.0,0.3844426776419706,39774.5
1162062500,인헌동,관악구,25564.0,1.088265711537561,23490.6
1162063000,남현동,관악구,17772.0,3.2785715020861264,5420.7
1162064500,서원동,관악구,22991.0,0.6470538792064403,35531.8
1162065500,신원동,관악구,17698.0,0.5445750235580561,32498.7
1162066500,서림동,관악구,23432.0,0.9405547948842404,24913.0
1162068500,신사동,관악구,22392.0,0.6406301973048565,34953.1
1162069500,신림동,관악구,22974.0,0.540769856588561,42483.9
1162071500,난향동,관악구,14768.0,0.820791946906767,17992.4
1162072500,조원동,관악구,19608.0,0.6661174715076456,29436.2
1162073500,대학동,관악구,24477.0,8.398948241817322,2914.3
1162074500,삼성동,관악구,20065.0,2.6024637530960946,7710.0
1162076500,미성동,관악구,29688.0,1.3584297106798071,21854.6
1162077500,난곡동,관악구,25471.0,0.971656598044894,26214.0
1165051000,서초1동,서초구,20312.0,1.381640301885933,14701.4
1165052000,서초2동,서초구,25504.0,1.2302356882240435,20731.0
1165053000,서초3동,서초구,31982.0,2.996312171110295,10673.8
1165053100,서초4동,서초구,30319.0,0.8791084228906586,34488.4
1165054000,잠원동,서초구,26805.0,1.7555415913986467,15268.8
1165055000,반포본동,서초구,229.0,0.971807050955919,235.6
1165056000,반포1동,서초구,33878.0,0.9916184288347256,34164.4
1165057000,반포2동,서초구,21150.0,1.3949827280874303,15161.5
1165058000,반포3동,서초구,23820.0,1.2507662434957412,19044.3
1165058100,반포4동,서초구,18515.0,1.4260670127258483,12983.3
1165059000,방배본동,서초구,20432.0,0.677002338298106,30180.1
1165060000,방배1동,서초구,16524.0,0.6887268297167539,23992.1
1165061000,방배2동,서초구,18079.0,1.9026034732083776,9502.2
1165062000,방배3동,서초구,16739.0,2.373348935056844,7052.9
