adm_cd,adm_nm,자치구,S_JVWI,dagagu_count,new_density,전세가율,고전세가율비율,공시지가대비전세가괴리,officetel_share,pop_density,n_dagagu_count,n_new_density,n_전세가율,n_고전세가율비율,n_공시지가대비전세가괴리,n_officetel_share,n_pop_density
1121585000,구의제1동,광진구,38.68,387,68.4,62.69,9.8,1.6762,0.1546,38997.7,0.33858267716535434,0.36923076923076925,0.5771715721464465,0.13154362416107385,0.37366919516489705,0.23216699204084693,0.7782065552999766
1123072000,휘경제1동,동대문구,38.61,329,58.5,66.88,14.0,2.0395,0.1921,26356.1,0.2878390201224847,0.3157894736842105,0.6201415239462619,0.18791946308724833,0.5236207797482396,0.2884817540171197,0.5255711056797812
1138060000,응암제3동,은평구,38.48,272,74.0,65.06,9.8,2.026,0.1768,31258.2,0.2379702537182852,0.39946018893387314,0.6014767716131679,0.13154362416107385,0.5180486729718148,0.26550533113080044,0.6235368883009019
1126057500,면목제3.8동,중랑구,38.48,768,24.58,65.39,12.6,1.9844,0.0646,15187.2,0.6719160104986877,0.1326855600539811,0.6048610398933443,0.16912751677852347,0.5008783291274244,0.09701156329779247,0.30236675866176116
1174061000,천호제2동,강동구,38.12,419,29.91,72.03,27.1,1.5074,0.2793,17802.0,0.3665791776027997,0.1614574898785425,0.6729566198338632,0.363758389261745,0.30399722302708204,0.41943234719927913,0.35462210400308564
1162056500,성현동,관악구,38.01,285,43.28,66.86,14.1,1.6152,0.2764,41794.6,0.24934383202099739,0.2336302294197031,0.6199364167777663,0.18926174496644294,0.3484915275084592,0.41507733893978066,0.8341010693680316
1162077500,난곡동,관악구,37.97,400,33.96,73.58,23.7,1.4996,0.2016,26214.0,0.34995625546806647,0.18331983805668017,0.6888524253922674,0.3181208053691275,0.3007777835562588,0.3027481603844421,0.5227313150369013
1162066500,서림동,관악구,37.87,400,35.09,73.58,23.7,1.4996,0.2016,24913.0,0.34995625546806647,0.18941970310391365,0.6888524253922674,0.3181208053691275,0.3007777835562588,0.3027481603844421,0.4967315428596552
1132071000,방학제3동,도봉구,37.78,361,9.23,86.33,27.5,2.0354,0.1493,13424.1,0.31583552055993,0.04982456140350877,0.8196082453081734,0.3691275167785235,0.521928510282807,0.22420783901486707,0.2671321711708291
1123070500,청량리동,동대문구,37.72,267,0.83,69.47,33.1,1.7115,0.5301,15593.9,0.2335958005249344,0.004480431848852901,0.6467029022664342,0.4442953020134228,0.38823922251362264,0.796065475296591,0.31049443532931376
1123060000,답십리제1동,동대문구,37.59,322,31.11,61.07,11.3,2.1185,0.2927,35414.6,0.28171478565179353,0.1679352226720648,0.5605578914983078,0.1516778523489933,0.5562279231065773,0.43955548881213397,0.7066002649938348
1129061000,보문동,성북구,37.58,438,76.01,61.65,4.0,1.8272,0.1112,29351.0,0.38320209973753283,0.410310391363023,0.5665059993846784,0.053691275167785234,0.43599424133083353,0.166992040846974,0.5854225412628975
1162057500,행운동,관악구,37.54,285,40.87,66.86,14.1,1.6152,0.2764,40353.9,0.24934383202099739,0.22062078272604588,0.6199364167777663,0.18926174496644294,0.3484915275084592,0.41507733893978066,0.8053094692329368
1162060500,은천동,관악구,37.48,285,37.82,66.86,14.1,1.6152,0.2764,41852.0,0.24934383202099739,0.20415654520917678,0.6199364167777663,0.18926174496644294,0.3484915275084592,0.41507733893978066,0.8352481769183575
1153056000,구로제5동,구로구,37.38,422,10.28,64.0,19.4,1.68,0.3741,28849.5,0.36920384951881013,0.05549257759784075,0.5906060916829043,0.26040268456375837,0.37523764003529814,0.5617960654752965,0.5754003385366185
1168065000,역삼2동,강남구,37.37,477,34.83,63.25,24.7,1.0092,0.2782,32246.6,0.41732283464566927,0.1880161943319838,0.5829145728643216,0.3315436241610738,0.09836584554450215,0.41778044751464183,0.6432895207528543
1162071500,난향동,관악구,37.26,400,40.21,73.58,23.7,1.4996,0.2016,17992.4,0.34995625546806647,0.21705802968960863,0.6888524253922674,0.3181208053691275,0.3007777835562588,0.3027481603844421,0.3584271436822153
1144066000,서교동,마포구,37.01,594,22.06,76.29,30.3,0.8626,0.2089,14361.0,0.5196850393700787,0.11908232118758434,0.7166444467234131,0.40671140939597317,0.037856893439029995,0.3137107673824898,0.2858556043398236
1144055500,아현동,마포구,36.91,245,105.13,47.99,9.1,1.5485,0.2053,38122.2,0.21434820647419073,0.5675033738191633,0.4264178033022254,0.1221476510067114,0.3209611925464197,0.30830455023276765,0.760710167489693
